category,slug,status,detail
Aventura,the-graveyard-2,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Aventura,whats-that-slot,OK,"Project "What's That Slot?" successfully added! (whats-that-slot-forge-1.3.4+1.20.1.jar)"
Aventura,dungeon-now-loading,OK,"Project "Dungeon Now Loading" successfully added! (Dungeon Now Loading-forge-1.20.1-2.2.jar)"
Aventura,from-the-fog,OK,"Project "From The Fog" successfully added! (From-The-Fog-1.20-v1.9.2-Forge-Fabric.jar)"
Aventura,caverns-and-chasms,OK,"Project "Caverns & Chasms" successfully added! (caverns_and_chasms-1.20.1-2.1.3.jar)"
Aventura,underground-villages,OK,"Project "Underground Villages" successfully added! (UndergroundVillages-forge-1.20.1-2.1.0.jar)"
Aventura,villager-names,FAIL,"Failed to add project: failed to get latest version: no valid versions found 	Use the 'packwiz settings acceptable-versions' command to accept more game versions 	To use datapacks; add a datapack loader mod and specify the datapack-folder option with the folder this mod loads datapacks from "
Aventura,bygone-nether,OK,"Project "Bygone Nether" successfully added! (bygonenether-1.3.2-1.20.x.jar)"
Aventura,nethers-exile,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Aventura,deep-aether,OK,"Project "Deep Aether" successfully added! (deep_aether-1.20.1-1.1.7.jar)"
Aventura,savage-and-ravage,OK,"Project "Savage & Ravage" successfully added! (savage_and_ravage-1.20.1-6.0.1.jar)"
Aventura,monster-hunter-legacy,FAIL,"Searching Modrinth... Failed to add project: no projects found "
Aventura,banished-souls,FAIL,"Searching Modrinth... Failed to add project: no projects found "
